id,caption,createur,idInterpretation_id
102,"Am curious as to what is going on in this painting it looks like a drawing of a building and I want to know more about it",bart_2,1203
103,"I am not sure what is going on here but it looks like a painting of a house",t5_1,1203
104,"I am not sure what this painting is supposed to be",t5_2,1203
105,"i'm confused about this artwork",FST,1203
106,"Black and white painting looks like a scary place to be",bart_1,1205
107,"Looks like a black and white photo of a tree that is about to fall off the mountain",bart_2,1205
108,"I am not sure what is going on in this painting but it looks like a ghost",t5_1,1205
109,"I am afraid that the snakes are going to kill someone",t5_2,1205
110,"the way the snake is painted&WHITE#DARKGREY#DARKGREY#GREY#LIGHTGREY is scary",FST,1205
111,"Man looks like he is in pain and the woman looks scared of him",bart_1,1222
112,"Looks like he is going to hurt someone or hurt them",bart_2,1222
113,"I feel fear because the man looks like he is about to kill someone",t5_1,1222
114,"I feel fear because the man looks like he is about to kill someone",t5_2,1222
115,"how the man is painted&GREY#DARKGREY#DARKGREY#LIGHTGREY#DARKGREY is scary",FST,1222
116,"Colors are bright and cheerful the shapes look like a fun place to be",bart_1,1224
117,"Amuses me because it looks like a child's drawing and the colors are bright and playful",bart_2,1224
118,"I am amused by the way the colors are drawn",t5_1,1224
119,"I love the colors and shapes",t5_2,1224
120,"&DARKGREY#NAVY#GREY#GREY#BLUE silly",FST,1224
121,"Man looks like he is in deep thought of something important",bart_1,1229
122,"Love the way the dog is looking at the deer",bart_2,1229
123,"I love the way the man is holding his dog",t5_1,1229
124,"I love the way the dog is looking at it",t5_2,1229
125,"the way the wolf is looking&GREY#DARKGREY#GREY#LIGHTGREY#NAVY makes me amazed",FST,1229
126,"Scene is peaceful and relaxing",bart_1,1251
127,"Love the colors and the structure of the painting",bart_2,1251
128,"I like the way the colors are painted",t5_1,1251
129,"I like the colors and the way they blend together",t5_2,1251
130,"it's nice the way the skyscraper is looking&TAN#TAN#DARKGREY#GREY#GREY",FST,1251
131,"Scene is peaceful and relaxing the colors are calming",bart_1,1254
132,"Love the colors and the way they are painted makes it look like a peaceful scene",bart_2,1254
133,"I like the way the colors are drawn and the scene is very realistic",t5_1,1254
134,"I like the way the horse is drawn",t5_2,1254
135,"&GREY#GREY#GREY#LIGHTGREY#NAVY pleasing",FST,1254
136,"People look like they are in pain and suffering",bart_1,1264
137,"Do not know what to think of this painting but it looks like the man is crying or in trouble",bart_2,1264
138,"I feel sad because the people look like they are going to die",t5_1,1264
139,"I feel sad for the people in the painting",t5_2,1264
140,"the way the clock is looking&LIGHTGREY#BROWN#DARKGREY#GREY#TAN depressing",FST,1264
141,"Painting is boring because it looks like a child's drawing",bart_1,1268
142,"Do not know what I am looking at but it looks like a sketch of a tree and the colors are bland",bart_2,1268
143,"I am not sure what is going on here but it looks like a painting of a man and a woman",t5_1,1268
144,"I am not sure what this painting is supposed to be",t5_2,1268
145,"i'm confused about this artwork",FST,1268
146,"Colors are calming and the scene is peaceful",bart_1,1269
147,"Love the colors and the way the flowers are painted",bart_2,1269
148,"I like the way the colors are drawn and the shapes look very realistic",t5_1,1269
149,"I like the way the colors are drawn",t5_2,1269
150,"how the butterfly is looking&LIGHTGREY#LIGHTGREY#GREY#GREY#GREY pleasing",FST,1269
151,"Scene is peaceful and the colors are calming",bart_1,1271
152,"Love the way the trees are painted it is very peaceful",bart_2,1271
153,"I like the way the colors are painted",t5_1,1271
154,"I like the way the colors are blended together",t5_2,1271
155,"the way the bridge is looking&WHITE#LIGHTGREY#LIGHTGREY#GREY#GREY makes me content",FST,1271
156,"Colors are calming and the scene is peaceful",bart_1,1272
157,"Love the colors and the subject matter of this painting",bart_2,1272
158,"I like the way the bird is drawn",t5_1,1272
159,"I like the way the dog is sitting on the chair",t5_2,1272
160,"the way the hamster is painted&LIGHTGREY#LIGHTGREY#GREY#GREY#GREY is pleasing",FST,1272
161,"Woman is wearing a fancy dress and she is looking at something that is funny",bart_1,1273
162,"Amuses me because I do not know what is going on here but it looks like a man's face and the colors are bright",bart_2,1273
163,"I am amused by the way the man looks like he is trying to figure out what he is doing",t5_1,1273
164,"I like the way the man is holding the bird",t5_2,1273
165,"the way the chimpanzee is looking&GREY#GREY#LIGHTGREY#DARKGREY#GREY is silly",FST,1273
166,"Woman looks like she is enjoying herself in the sun",bart_1,1274
167,"Love the colors and the detail in the drawing",bart_2,1274
168,"I like the way the colors are drawn and the woman looks happy",t5_1,1274
169,"I like the way the woman is holding her dog",t5_2,1274
170,"how the possum is looking&GREY#GREY#GREY#LIGHTGREY#NAVY makes me happy",FST,1274
171,"Colors are very vibrant and the lines look like a photograph",bart_1,1276
172,"Love the colors and the way the flowers are painted",bart_2,1276
173,"I love the way the colors are painted",t5_1,1276
174,"I love the colors and the way they blend together",t5_2,1276
175,"i'm in awe of how the forest is looking&DARKGREY#DARKGREY#GREY#GREY#LIGHTGREY",FST,1276
176,"Colors are calming and relaxing",bart_1,1279
177,"Love the colors and the way they are painted",bart_2,1279
178,"I like the way the colors are drawn and the shapes are very realistic",t5_1,1279
179,"I like the way the colors are blended together",t5_2,1279
180,"&KHAKI#LIGHTGREY#GREY#TAN#COPPER pleasing",FST,1279
181,"People in the picture look like they are being tortured by a demon",bart_1,1280
182,"Looks like a ghost and I fear for the people in this painting",bart_2,1280
183,"I am not sure what is going on here but it looks like a ghost",t5_1,1280
184,"I am afraid that the people in the painting are going to kill someone",t5_2,1280
185,"the way the plate is looking&DARKGREY#DARKGREY#DARKGREY#GREY#NAVY is creepy",FST,1280
186,"Black and white painting of a man being killed by an evil creature",bart_1,1281
187,"Looks like a ghost and I fear for the people in this painting",bart_2,1281
188,"I am not sure what is going on here but it looks like a ghost",t5_1,1281
189,"I am afraid that the man is going to attack someone",t5_2,1281
190,"how the rocket is painted&DARKGREY#DARKGREY#GREY#GREY#DARKGREY is creepy",FST,1281
191,"Black and white painting looks like a scary place to be",bart_1,1282
192,"Looks like a ghost and I fear for the person who is going to hurt her",bart_2,1282
193,"I am not sure what is going on here but it looks like a ghost",t5_1,1282
194,"I am afraid that the man is going to kill someone",t5_2,1282
195,"how the beaver is painted&WHITE#DARKGREY#MAROON#GREY#TAN is creepy",FST,1282
196,"Woman looks like she is in pain or suffering",bart_1,1285
197,"Can not tell if the man is happy or sad",bart_2,1285
198,"I feel sad because the woman looks like she is in pain",t5_1,1285
199,"I feel sad for the woman who is not happy with her life",t5_2,1285
200,"how the boy is painted&DARKGREY#LIGHTGREY#DARKGREY#GREY#TAN depressing",FST,1285
201,"Black and white painting of a man being killed is scary",bart_1,1286
202,"Looks like a ghost and I fear for the people in this painting",bart_2,1286
203,"I am not sure what is going on here but it looks like a ghost",t5_1,1286
204,"I feel fear because it looks like a battle is about to happen",t5_2,1286
205,"it's scary the way the can is looking&DARKGREY#LIGHTGREY#DARKGREY#DARKGREY#TAN",FST,1286
206,"Man looks like he is playing with the woman in the middle of her life",bart_1,1289
207,"Amuses me because I do not know what to think of it",bart_2,1289
208,"I am not sure what is going on here but it makes me laugh because the man looks like he is trying to figure out what he is doing",t5_1,1289
209,"I am amused by the way the man looks like he is trying to get away from the woman",t5_2,1289
210,"how the man is painted&DARKGREY#DARKGREY#GREY#LIGHTGREY#DARKGREY silly",FST,1289
211,"Painting makes me feel confused because I do not know what the artist is trying to convey",bart_1,1291
212,"Do not know what I am looking at it is just a bunch of lines and nothing special",bart_2,1291
213,"I am not sure what is going on here but it looks like a painting of a wall",t5_1,1291
214,"I am confused by the lack of detail in this painting",t5_2,1291
215,"i'm not sure what's going on here",FST,1291
216,"Colors are bright and cheerful the shapes look like they are glowing",bart_1,1295
217,"Am excited by the way the artist has chosen to paint this painting",bart_2,1295
218,"I am excited by the way the colors are drawn",t5_1,1295
219,"I am excited by the way the artist is trying to capture the moment in this painting",t5_2,1295
220,"it's exciting how the rocket is painted&LIGHTGREY#GREY#DARKGREY#GREY#NAVY",FST,1295
221,"Watercolor painting of a lake in the middle of the night",bart_1,1326
222,"Love the colors and the way they are painted",bart_2,1326
223,"I love the way the colors are painted",t5_1,1326
224,"I love the way the colors are blended together",t5_2,1326
225,"&GREY#GREY#NAVY#DARKGREY#GREY amazing",FST,1326
226,"People are having a good time playing with each other",bart_1,1328
227,"Love the colors and the way they are painted it is very peaceful",bart_2,1328
228,"I like the way the colors are painted and the man looks very relaxed",t5_1,1328
229,"I like the way the man is riding his bicycle",t5_2,1328
230,"how the bicycle is painted&LIGHTGREY#DARKGREY#GREY#GREY#GREY pleasing",FST,1328
231,"Horse looks like it is about to fall into the water",bart_1,1330
232,"Am amazed by the beauty of nature and how beautiful it is",bart_2,1330
233,"I love the way the colors are drawn and the animals look like they are in awe",t5_1,1330
234,"I love the detail in the horse and how it looks so realistic",t5_2,1330
235,"the way the elephant is looking&GREY#GREY#DARKGREY#NAVY#GREY makes me amazed",FST,1330
236,"Painting is very detailed and I like the contrast between the white horse and the rest of the image",bart_1,1341
237,"Love the detail in the trees and the way they are painted is amazing",bart_2,1341
238,"I love the way the colors are painted",t5_1,1341
239,"I love the colors and the way the dog is standing",t5_2,1341
240,"how the seal is painted&LIGHTGREY#GREY#GREY#DARKGREY#DARKGREY is amazing",FST,1341
241,"Man looks like he is being tortured by a demon",bart_1,1342
242,"Looks like a ghost and I fear for the people in this painting",bart_2,1342
243,"I am not sure what is going on here but it looks like a monster",t5_1,1342
244,"I feel fear because the man is trying to kill the animal",t5_2,1342
245,"the way the lion is painted&GREY#TAN#GREY#DARKGREY#TAN scary",FST,1342
246,"Scene is peaceful and the colors are calming",bart_1,1349
247,"Love the way the trees are painted it is very peaceful",bart_2,1349
248,"I like the way the colors are painted and the scene is very peaceful",t5_1,1349
249,"I like the way the horse is standing in the water",t5_2,1349
250,"&GREY#GREY#LIGHTGREY#GREY#DARKGREY pleasing",FST,1349
251,"Painting makes me feel confused because I do not know what it is supposed to be",bart_1,1352
252,"Am disappointed by the lack of details in the faces and clothing on the people",bart_2,1352
253,"I am not sure what is going on here but it looks like a painting of a man and a woman",t5_1,1352
254,"I am confused as to what this painting is supposed to be",t5_2,1352
255,"i'm not sure what's going on here",FST,1352
256,"Black and white painting looks like a scary place to be",bart_1,1466
257,"Looks like a ghost and I feel fear for the people in this painting",bart_2,1466
258,"I feel fear because it looks like a monster lurking in the background",t5_1,1466
259,"I am afraid that the angels are going to attack someone",t5_2,1466
260,"it's scary the way the wardrobe is looking&DARKGREY#DARKGREY#DARKGREY#GREY#DARKGREY",FST,1466
261,"People in the picture look like they are being tortured by a demon",bart_1,1467
262,"Looks like the man is going to hurt the woman",bart_2,1467
263,"I feel fear because there is something scary about the people in the picture",t5_1,1467
264,"I am afraid that the people are going to kill someone",t5_2,1467
265,"&DARKGREY#DARKGREY#GREY#GREY#DARKGREY creepy",FST,1467
266,"Painting of a woman in a white dress with her hands on the table",bart_1,1468
267,"Love the colors and the shapes in this painting",bart_2,1468
268,"I like the way the colors are painted",t5_1,1468
269,"I like the colors and the way they blend together",t5_2,1468
270,"how the wardrobe is painted&DARKGREY#DARKGREY#GREY#DARKGREY#DARKGREY pleasing",FST,1468
271,"Painting is boring because the colors are muted and dull",bart_1,1478
272,"Am disappointed by the lack of details in the drawing and the lack to detail on the leaves",bart_2,1478
273,"I am not sure what is going on here but it looks like a blank canvas",t5_1,1478
274,"I am confused by the lack of detail in this painting",t5_2,1478
275,"i'm confused about this artwork",FST,1478
276,"Woman looks like she is relaxing on a couch with her dog",bart_1,1481
277,"Love the colors and the way they are painted",bart_2,1481
278,"I like the way the woman is holding her head down",t5_1,1481
279,"I like the colors and the way they blend together",t5_2,1481
280,"it's pleasing to look at the way the woman is painted&LIGHTGREY#DARKGREY#DARKGREY#GREY#GREY",FST,1481
281,"Man looks like he is being tortured by a demon",bart_1,1522
282,"Looks like a ghost and I am scared of what is behind it",bart_2,1522
283,"I feel fear because the man looks like he is about to kill someone",t5_1,1522
284,"I am afraid that the man is going to kill someone",t5_2,1522
285,"how the woman is painted&DARKGREY#DARKGREY#MAROON#GREY#GREY makes me scared",FST,1522
286,"Colors and shapes are exciting",bart_1,1524
287,"Am excited by the contrast between the red and orange colors of this painting",bart_2,1524
288,"I love the bright colors of the orange and yellow",t5_1,1524
289,"I am excited by the bright colors",t5_2,1524
290,"the way the sweet pepper is looking&YELLOW#COPPER#KHAKI#BEIGE#TAN is exciting",FST,1524
291,"People are having fun playing with each other",bart_1,1525
292,"Am excited by the way the artist has chosen to paint a woman's body",bart_2,1525
293,"I am excited by the way the colors are drawn and the people look like they are dancing",t5_1,1525
294,"I am excited by the way the people are looking at each other",t5_2,1525
295,"how the wardrobe is looking&DARKGREY#GREY#GREY#LIGHTGREY#SALMON is exciting",FST,1525
296,"Horse looks like it is about to hurt someone",bart_1,1530
297,"Looks like a ghost and I feel fear for the people in this painting",bart_2,1530
298,"I am not sure what is going on here but it looks like a ghost",t5_1,1530
299,"I feel fear because it looks like a monster is about to attack someone",t5_2,1530
300,"how the woman is painted&DARKGREY#DARKGREY#GREY#DARKGREY#NAVY makes me scared",FST,1530
301,"Abstract painting of a table with some sort of pattern on it",bart_1,1542
302,"Love the colors and the way it is painted",bart_2,1542
303,"I like the way the colors are painted",t5_1,1542
304,"I like the colors and the way they blend together",t5_2,1542
305,"the way the keyboard is painted&GREY#LIGHTGREY#GREY#DARKGREY#DARKGREY pleasing",FST,1542
306,"Painting is very detailed and the people are all gathered together to watch the sunset",bart_1,1543
307,"Love the colors and the way they are painted",bart_2,1543
308,"I love the way the colors are painted and the people look like they are dancing",t5_1,1543
309,"I love the colors and the way they are painted",t5_2,1543
310,"how the wardrobe is looking&LIGHTGREY#BROWN#GREY#DARKGREY#TAN amazing",FST,1543
311,"Mountains in the background look like they are enjoying themselves",bart_1,1545
312,"Love the colors and the scene is very peaceful",bart_2,1545
313,"I like the way the colors are painted and the people look very calm",t5_1,1545
314,"I like the way the colors are blended together",t5_2,1545
315,"it's nice the way the mountain is looking&GREY#LIGHTGREY#GREY#DARKGREY#TAN",FST,1545
316,"Tree branches look like they are glowing since it is glowing",bart_1,1548
317,"Love the colors and the way the trees are painted",bart_2,1548
318,"I like the way the trees are painted",t5_1,1548
319,"I love the greens and blues in this painting",t5_2,1548
320,"how the willow tree is looking&LIGHTGREY#DARKGREY#SAPGREEN#GREY#DARKGREY pleasing",FST,1548
321,"Tree branches look like they are glowing since it is glowing",bart_1,1549
322,"Love the colors and the way the trees are painted",bart_2,1549
323,"I like the way the trees are painted",t5_1,1549
324,"I love the green trees in the background",t5_2,1549
325,"the way the willow tree is painted&LIGHTGREY#GREY#SAPGREEN#DARKGREY#GREY pleasing",FST,1549
326,"Tree branches look like they are glowing since it is glowing",bart_1,1551
327,"Love the way the trees are painted it is very peaceful",bart_2,1551
328,"I like the way the trees are painted",t5_1,1551
329,"I love the green trees in the background",t5_2,1551
330,"how the trees are looking&LIGHTGREY#GREY#SAPGREEN#DARKGREY#GREY is pleasing",FST,1551
331,"Colors are calming and the scene is peaceful",bart_1,1552
332,"Love the colors of the leaves and the flowers are beautiful",bart_2,1552
333,"I like the way the colors are drawn and the flowers look so bright",t5_1,1552
334,"I like the colors and the way the flowers are painted",t5_2,1552
335,"it's pleasing to look at how the willow tree is painted&LIGHTGREY#SAPGREEN#DARKGREY#SAPGREEN#LIGHTGREY",FST,1552
336,"Man looks like he is in pain and the woman looks scared of him",bart_1,1555
337,"Looks like a ghost and I feel fear for the person who is going to hurt her",bart_2,1555
338,"I am not sure what is going on here but it looks like a ghost",t5_1,1555
339,"I feel fear because it looks like the man is about to kill someone",t5_2,1555
340,"it's scary the way the woman is painted&DARKGREY#DARKGREY#DARKGREY#GREY#NAVY",FST,1555
341,"Man looks like he is being tortured by a demon",bart_1,1557
342,"Looks like a ghost and I fear for the person who is going to hurt her",bart_2,1557
343,"I feel fear because the man looks like he is about to kill someone",t5_1,1557
344,"I feel fear because the man looks like he is about to kill someone",t5_2,1557
345,"the way the rocket is painted&DARKGREY#DARKGREY#DARKGREY#GREY#DARKGREY makes me fearful",FST,1557
346,"Man looks like he is in pain or suffering since his eyes are closed",bart_1,1560
347,"Looks like a ghost and I fear for the people in this painting",bart_2,1560
348,"I feel fear because the man looks like he is about to kill someone",t5_1,1560
349,"I feel fear because the man looks like he is about to kill someone",t5_2,1560
350,"i'm scared because of the way the man is painted&DARKGREY#DARKGREY#DARKGREY#GREY#NAVY",FST,1560
351,"Painting is very detailed and I like the contrast between the black and white",bart_1,1561
352,"Love the use of colors and shapes in this painting",bart_2,1561
353,"I love the way the colors are drawn and the shapes look like they are all in harmony",t5_1,1561
354,"I love the colors and shapes in this painting",t5_2,1561
355,"i'm in awe of the way the snake is painted&LIGHTGREY#GREY#DARKGREY#GREY#GREY",FST,1561
356,"Horses are galloping through the streets in a majestic way",bart_1,1562
357,"Am amazed by the way the artist was able to capture the movement of the horses",bart_2,1562
358,"I love the way the colors are drawn and the people look like they are dancing",t5_1,1562
359,"I love the way the horse is drawn it looks like it is in an epic battle",t5_2,1562
360,"how the elephant is looking&GREY#GREY#LIGHTGREY#DARKGREY#GREY makes me in awe",FST,1562
361,"Painting is very detailed and I like the contrast between the white horse and the rest of the image",bart_1,1564
362,"Love the way the animals are drawn and the colors used in this painting make it look like a very peaceful scene",bart_2,1564
363,"I love the way the colors are drawn and the animals look like they are in awe",t5_1,1564
364,"I love the detail in this painting it looks like a picture of a horse",t5_2,1564
365,"the way the cattle is looking&GREY#GREY#DARKGREY#GREY#NAVY makes me amazed",FST,1564
366,"People are enjoying themselves in the city",bart_1,1565
367,"Love the detail in the snow and the colors are amazing",bart_2,1565
368,"I love the way the colors are painted and the people in the painting look like they are dancing",t5_1,1565
369,"I love the way the colors are used in this painting",t5_2,1565
370,"i love the way the streetcar is painted&GREY#DARKGREY#LIGHTGREY#DARKGREY#TAN",FST,1565
371,"Painting is boring and lacks details in the image",bart_1,1566
372,"Do not know what I am looking at it is just a bunch of lines and nothing special",bart_2,1566
373,"I am not sure what is going on here but it looks like a picture of a painting",t5_1,1566
374,"I am confused as to what this is supposed to be",t5_2,1566
375,"i'm confused about this artwork",FST,1566
376,"Colors are calming and the scene is peaceful",bart_1,1567
377,"Love the colors and the way the tree is painted",bart_2,1567
378,"I like the way the colors are drawn",t5_1,1567
379,"I love the colors and the way the bird is painted",t5_2,1567
380,"how the aquarium fish is looking&AZURE#AZURE#GREY#AZURE#GREY is pleasing",FST,1567
381,"Colors are bright and cheerful I like the contrast between the white and black",bart_1,1568
382,"Amuses me because it looks like a child's drawing and the colors are bright and playful",bart_2,1568
383,"I like the way the colors are drawn and the scene is so simple",t5_1,1568
384,"I love the colors and shapes",t5_2,1568
385,"how the plain is painted&AZURE#AZURE#LIGHTGREY#AZURE#GREY silly",FST,1568
391,"Painting is very detailed and I like the contrast between the purple sky and the white clouds",bart_1,1570
392,"Am amazed by the beauty of nature and how beautiful it is",bart_2,1570
393,"I love the way the colors are painted",t5_1,1570
394,"I love the colors and the way the artist painted this painting",t5_2,1570
395,"&LIGHTGREY#GREY#GREY#DARKGREY#GREY amazing",FST,1570
396,"Painting is very detailed and I like the contrast between the black and white",bart_1,1571
397,"Love the way the artist used shadows to make the man's face stand out",bart_2,1571
398,"I love the way the man is holding his hand and how he looks like he is looking at it",t5_1,1571
399,"I love the way the man looks like he is looking at something",t5_2,1571
400,"the way the lawn mower is looking&GREY#LIGHTGREY#DARKGREY#GREY#GREY makes me in awe",FST,1571
401,"Painting is very detailed and I like the contrast between the white flowers and the rest of the image",bart_1,1572
402,"Love the colors and the detail in the plants is amazing",bart_2,1572
403,"I love the way the woman is holding her dog and how she looks like she is in awe",t5_1,1572
404,"I love the way the woman is holding her horse",t5_2,1572
405,"i love the way the lawn mower is painted&LIGHTGREY#DARKGREY#LIGHTGREY#GREY#GREY",FST,1572
406,"Painting makes me feel confused because I do not know what it is supposed to be",bart_1,1578
407,"Am disappointed by the lack of details in the trees and background",bart_2,1578
408,"I am not sure what is going on here but it looks like a very dark day",t5_1,1578
409,"I am confused by the lack of detail in this painting",t5_2,1578
410,"i'm confused about this artwork",FST,1578
411,"Tree branches look like they are glowing since it is glowing",bart_1,1579
412,"Love the way the trees are painted it is amazing",bart_2,1579
413,"I love the way the trees are painted",t5_1,1579
414,"I love the way the trees look like they are floating in the water",t5_2,1579
415,"how the willow tree is looking&LIGHTGREY#GREY#GREY#DARKGREY#NAVY amazing",FST,1579
416,"Painting makes me feel confused because I do not know what the artist is trying to convey",bart_1,1585
417,"Am curious as to what is going on in this picture it looks like a drawing of a tree and I want to know more about the painting",bart_2,1585
418,"I am not sure what is going on here but it looks like a painting of a tree",t5_1,1585
419,"I am confused by this painting because it looks like a piece of paper",t5_2,1585
420,"i'm not sure what's going on here",FST,1585
421,"Painting is very detailed and the colors are so bright it makes me want to be there",bart_1,1587
422,"Love the colors and the detail in the drawing is amazing",bart_2,1587
423,"I love the way the colors are painted",t5_1,1587
424,"I love the colors and the way they are painted",t5_2,1587
425,"the way the aquarium fish is painted&LIGHTGREY#LIGHTGREY#GREY#DARKGREY#GREY amazing",FST,1587
426,"Painting is very colorful and has a lot of bright colors that are exciting to look at",bart_1,1588
427,"Love the use of colors and shapes in this painting",bart_2,1588
428,"I love the way the colors are painted",t5_1,1588
429,"I love the colors and shapes in this painting",t5_2,1588
