t5_1 :
Taille 2 : 750 n-grammes différents
[the way]   [vu 3976 fois]
[am not sure what is going on here but it looks like a painting of a house]   [vu 46 fois]
[am not sure what is going on here but it looks like a painting of a wall]   [vu 42 fois]

t5_1 :
Taille 18 : 631 n-grammes différents
[I am not sure what is going on here but it looks like a painting of a man]   [vu 187 fois]
[I am not sure what is going on here but it looks like a painting of a tree]   [vu 161 fois]
[I am not sure what is going on here but it looks like a painting of a horse]   [vu 131 fois]
[I am not sure what is going on in this painting but it looks like a picture of]   [vu 127 fois]
[am not sure what is going on in this painting but it looks like a picture of a]   [vu 127 fois]
[am not sure what is going on here but it looks like a painting of a man or]   [vu 87 fois]
[not sure what is going on here but it looks like a painting of a man or woman]   [vu 86 fois]
[I am not sure what is going on here but it looks like a painting of a snake]   [vu 77 fois]
[not sure what is going on in this painting but it looks like a picture of a man]   [vu 62 fois]
[I am not sure what is going on in this painting but it looks like a blank canvas]   [vu 60 fois]
[I am not sure what is going on here but it looks like a monster in the background]   [vu 50 fois]
[I am not sure what is going on here but it looks like a painting of a house]   [vu 46 fois]
[I am not sure what is going on here but it looks like a painting of a wall]   [vu 42 fois]
[I love the way the colors are drawn and the shapes look like they are all in harmony]   [vu 42 fois]
[I am not sure what is going on here but it looks like a painting of a statue]   [vu 39 fois]
[I am not sure what is going on in this painting but it looks like a bunch of]   [vu 37 fois]
[am not sure what is going on here but it looks like a painting of a man and]   [vu 36 fois]
[not sure what is going on here but it looks like a painting of a man and a]   [vu 36 fois]
[sure what is going on here but it looks like a painting of a man and a woman]   [vu 36 fois]
[I am not sure what is going on here but it looks like a picture of a painting]   [vu 30 fois]

t5_1 :
Taille 19 : 458 n-grammes différents
[I am not sure what is going on in this painting but it looks like a picture of a]   [vu 127 fois]
[I am not sure what is going on here but it looks like a painting of a man or]   [vu 87 fois]
[am not sure what is going on here but it looks like a painting of a man or woman]   [vu 86 fois]
[am not sure what is going on in this painting but it looks like a picture of a man]   [vu 62 fois]
[I am not sure what is going on here but it looks like a painting of a man and]   [vu 36 fois]
[am not sure what is going on here but it looks like a painting of a man and a]   [vu 36 fois]
[not sure what is going on here but it looks like a painting of a man and a woman]   [vu 36 fois]
[not sure what is going on in this painting but it looks like a picture of a man and]   [vu 24 fois]
[sure what is going on in this painting but it looks like a picture of a man and a]   [vu 24 fois]
[what is going on in this painting but it looks like a picture of a man and a woman]   [vu 24 fois]
[not sure what is going on in this painting but it looks like a picture of a man or]   [vu 22 fois]
[sure what is going on in this painting but it looks like a picture of a man or woman]   [vu 22 fois]
[am not sure what is going on in this painting but it looks like a picture of a tree]   [vu 21 fois]
[I am not sure what is going on here but it looks like a bunch of different shapes and]   [vu 20 fois]
[I am not sure what is going on here but it looks like a storm is about to happen]   [vu 18 fois]
[am not sure what is going on here but it looks like a bunch of different shapes and colors]   [vu 18 fois]
[I am amused by the way the man looks like he is trying to figure out what he is]   [vu 16 fois]
[am amused by the way the man looks like he is trying to figure out what he is doing]   [vu 16 fois]
[I am not sure what is going on in this painting but it looks like a bunch of different]   [vu 15 fois]
[am not sure what is going on in this painting but it looks like a picture of a table]   [vu 14 fois]

t5_1 :
Taille 20 : 324 n-grammes différents
[I am not sure what is going on here but it looks like a painting of a man or woman]   [vu 86 fois]
[I am not sure what is going on in this painting but it looks like a picture of a man]   [vu 62 fois]
[I am not sure what is going on here but it looks like a painting of a man and a]   [vu 36 fois]
[am not sure what is going on here but it looks like a painting of a man and a woman]   [vu 36 fois]
[am not sure what is going on in this painting but it looks like a picture of a man and]   [vu 24 fois]
[not sure what is going on in this painting but it looks like a picture of a man and a]   [vu 24 fois]
[sure what is going on in this painting but it looks like a picture of a man and a woman]   [vu 24 fois]
[am not sure what is going on in this painting but it looks like a picture of a man or]   [vu 22 fois]
[not sure what is going on in this painting but it looks like a picture of a man or woman]   [vu 22 fois]
[I am not sure what is going on in this painting but it looks like a picture of a tree]   [vu 21 fois]
[I am not sure what is going on here but it looks like a bunch of different shapes and colors]   [vu 18 fois]
[I am amused by the way the man looks like he is trying to figure out what he is doing]   [vu 16 fois]
[I am not sure what is going on in this painting but it looks like a picture of a table]   [vu 14 fois]
[I am not sure what is going on in this painting but it looks like a bunch of different shapes]   [vu 13 fois]
[I am not sure what is going on in this painting but it looks like a picture of a person]   [vu 11 fois]
[I am not sure what is going on in this painting but it looks like a very dark and boring]   [vu 11 fois]
[am not sure what is going on in this painting but it looks like a very dark and boring scene]   [vu 11 fois]
[I feel fear because there are so many people in the dark room that they look like they are going]   [vu 9 fois]
[feel fear because there are so many people in the dark room that they look like they are going to]   [vu 9 fois]
[I am not sure what is going on here but it looks like a painting of a mountain in the]   [vu 9 fois]

t5_1 :
Taille 21 : 0 n-grammes différents

t5_1 :
Taille 22 : 0 n-grammes différents

t5_1 :
Taille 23 : 0 n-grammes différents

t5_1 :
Taille 24 : 0 n-grammes différents

t5_1 :
Taille 25 : 0 n-grammes différents

t5_1 :
Taille 26 : 0 n-grammes différents

t5_1 :
Taille 27 : 0 n-grammes différents

t5_1 :
Taille 28 : 0 n-grammes différents

t5_1 :
Taille 29 : 0 n-grammes différents

